['2', '3', '7', 'Q', 'A'] 396
['2', '3', 'K', '6', '4'] 974
['2', '4', 'Q', '6', '5'] 138
['2', '6', '4', '7', '9'] 371
['2', '7', '3', 'T', 'A'] 885
['2', '7', '6', '5', '4'] 817
['2', '9', '3', '8', '4'] 599
['2', 'T', '8', '7', 'K'] 298
['2', 'K', 'Q', '5', 'T'] 430
['2', 'A', '5', 'K', 'T'] 746
['2', 'A', '6', 'Q', '4'] 481
['3', '2', 'Q', '7', '9'] 433
['3', '5', '2', 'T', '8'] 289
['3', '5', '2', 'Q', 'A'] 948
['3', '5', 'Q', 'T', '7'] 552
['3', '6', '5', '2', 'A'] 186
['3', '7', '5', '9', 'Q'] 106
['3', '8', '4', 'K', '9'] 445
['3', '9', '5', 'A', '8'] 301
['3', 'Q', '6', 'T', '7'] 253
['3', 'K', '2', '6', '5'] 251
['3', 'K', '7', '6', 'A'] 27
['3', 'A', 'T', '2', '4'] 476
['4', '3', 'T', 'K', '8'] 988
['4', '3', 'A', 'K', 'Q'] 623
['4', '5', '2', '8', '3'] 215
['4', '5', 'Q', 'K', '8'] 344
['4', '8', '6', '9', 'T'] 327
['4', '8', 'Q', 'A', '6'] 610
['4', '9', '5', '3', 'T'] 780
['4', '9', '5', '8', 'T'] 248
['4', 'T', '2', '6', 'K'] 534
['4', 'Q', '2', 'A', '7'] 697
['4', 'Q', 'K', 'A', 'T'] 98
['4', 'Q', 'A', 'K', '6'] 991
['4', 'K', 'Q', '7', '8'] 401
['4', 'A', 'Q', '3', 'T'] 963
['5', '4', '3', '6', '7'] 333
['5', '6', '8', '2', 'Q'] 553
['5', '7', 'K', '3', '6'] 607
['5', 'T', '2', '4', '3'] 643
['5', 'T', 'A', '9', '8'] 364
['5', 'Q', '2', '9', '8'] 177
['5', 'Q', 'T', '6', '4'] 886
['5', 'Q', 'K', '3', '7'] 21
['5', 'K', '4', 'T', 'A'] 835
['5', 'K', '8', '3', 'A'] 422
['5', 'K', '9', '7', '2'] 446
['5', 'A', '6', 'K', '4'] 104
['6', '2', 'T', '5', '8'] 309
['6', '3', '2', 'T', '4'] 225
['6', '4', '5', 'Q', '8'] 395
['6', '8', '3', '7', '9'] 828
['6', '8', 'A', 'K', '9'] 282
['6', 'T', '2', 'K', '8'] 765
['6', 'Q', '9', '5', 'A'] 581
['6', 'K', '2', 'Q', '3'] 269
['6', 'A', 'T', '2', 'Q'] 511
['7', '4', '8', '3', '5'] 952
['7', '5', 'Q', '8', '3'] 114
['7', '6', '3', '8', '2'] 7
['7', '6', 'A', '2', '4'] 915
['7', '9', '6', '5', '4'] 786
['7', 'T', '4', '6', 'A'] 502
['7', 'Q', '6', 'A', 'T'] 741
['7', 'Q', 'T', '8', 'A'] 998
['7', 'A', '5', '9', '2'] 973
['8', '2', '9', 'Q', 'A'] 807
['8', '3', '4', 'Q', '2'] 291
['8', '3', 'Q', 'T', '2'] 972
['8', '4', 'Q', '2', '6'] 578
['8', '5', 'K', '9', '6'] 627
['8', '6', 'Q', '9', '7'] 331
['8', 'Q', '6', '4', '9'] 830
['8', 'K', '2', '3', 'A'] 52
['8', 'K', '3', 'Q', 'T'] 170
['9', '2', '4', 'A', '3'] 934
['9', '3', '7', '5', '2'] 23
['9', '7', '6', '2', 'T'] 53
['9', '7', '6', '3', 'T'] 938
['9', 'Q', '5', '3', '2'] 523
['9', 'Q', '7', 'A', '2'] 506
['9', 'K', '8', '5', 'T'] 100
['T', '3', '7', '2', '4'] 832
['T', '6', '7', 'K', '3'] 322
['T', '6', 'K', '8', '4'] 699
['T', '7', '6', 'K', 'Q'] 28
['T', '8', '3', '6', '5'] 116
['Q', '3', '9', '8', 'T'] 668
